"","barcode","collAbbreviation","collNo_Text","collector_Text","collrTeam_Text","country","county","family","genus","herbariumCode","herbariumDetailsUrl","collectionID","infraspecies","infraspecies_Author1_Text","infraspecies_Author2_Text","photoExists","plantID","rank","species","species_Author1_Text","species_Author2_Text","Continent","Collection.Date","Locality","DetDate_Text","Habitat","RepState1","RepState2","RepState3","RepState4","Type","PlDescr","Frequency","elevL","ElevH","ElevUnits","Endangered","Named_Place","LongDecL","LongDirL","LatDecL","LatDirL","SpecimenImageURL"
"554",163668,"null","254","W. H. Duncan","F. Montgomery","USA","Oglethorpe Co.","Asteraceae","Symphyotrichum","null","null",199599,"null","null","null",TRUE,"2724","null","pilosum","G. L. Nesom","null","North America","10/16/1965","Echols Mill granite outcrop; 9.3 mi. N 45° E of Lexington; Piedmont Province.","Jul 2000","Growing in marginal areas near cultivated fields.","Flower","null","null","null","null","Ligulate flowers white; not so frequent away from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/163668.jpg"
"555",132368,"null","254","W. H. Duncan","F. Montgomery","USA","Oglethorpe Co.","Asteraceae","Symphyotrichum","null","null",199611,"null","null","null",TRUE,"2724","null","pilosum","G. L. Nesom","null","North America","10/16/1965","Echols Mill granite outcrop; 9.3 mi. N 45 ° E of Lexington.","Jul 2000","Growing in marginal areas near cultivated fields.","Flower","null","null","null","null","Ligulate flowers white; not so frequent away from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/132368.jpg"
"556",120488,"null","2276","G. Martinez Calderon","","Mexico","null","Asteraceae","Symphyotrichum","null","null",232520,"null","null","null",TRUE,"null","null","schaffneri","Sch. Bip. ex S.D. Sundb. & A.G. Jones","G. L. Nesom","North America","04/26/1970","Dos Amates; Catemaco.","Jul 2000","Acahual; suelo profundo arcilloso negro; veg secundaria.","Flower","null","null","null","null","Abundante escasa; hierba; annual; planta cultivada; flor morado claro.","null","300","null","m",FALSE,"null","-95.11398","W","18.42131","N","https://cdn.plantatlas.org/img/specimens/USF/120488.jpg"
"557",126434,"null","s.n.","A. G. Shuey","J.E. Poppleton","USA","Brevard Co.","Araceae","Syngonium","null","null",116404,"null","null","null",TRUE,"257","null","podophyllum","Schott","null","North America","04/10/1973","N Merritt Island.","1985","null","null","null","null","null","null","Persisting from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/126434.jpg"
"558",193481,"null","11327","B. F. Hansen","J. Hansen","USA","Palm Beach Co.","Myrtaceae","Syzygium","null","null",130169,"null","null","null",TRUE,"338","null","cumini","L.","Skeels","North America","05/15/1987","S side of Lake Okeechobee levee, just E of the pumping station at Lake Harbor. T43S, R35E, Sec. 36.","null","Wooded area.","Flower","null","null","null","null","Large tree, probably persistent from cultivation.","null","null","null","null",FALSE,"null","-80.829783","W","27.243935","N","https://cdn.plantatlas.org/img/specimens/USF/193481.JPG"
"561",222465,"null","s.n.","K. Samuels","","USA","Martin Co.","Bignoniaceae","Tabebuia","null","null",131558,"null","null","null",TRUE,"316","null","heterophylla","DC.","Britton","North America","01/20/1998","Ca. 2.5 mi. N of Jensen Beach, on old Florida Institute of Technology college campus on Sewells Point. T37S, R41E, Sec. 35.","null","null","null","null","null","null","null","Persistent from cultivation.","null","null","null","null",FALSE,"null","-82","W","28","N","https://cdn.plantatlas.org/img/specimens/USF/222465.JPG"
"562",89485,"null","11266","W. L. McCart","","USA","Broward Co.","Asteraceae","Tagetes","null","null",32233,"null","null","null",TRUE,"1576","null","erecta","L.","null","North America","7 Dec 1969","Holmberg Road, 10 mi. W of Deerfield.","null","By roadside.","Fertile","null","null","null","null","Escaped from cultivation. Ligules [ligulate corollas] and disks orange.","null","null","null","null",FALSE,"null","-80.1","W","26.3167","N","https://cdn.plantatlas.org/img/specimens/USF/89485.jpg"
"563",67825,"null","4949","D. B. Ward","G. Crosby","USA","St. Lucie Co.","Malvaceae","Talipariti","null","null",19130,"tiliaceum","null","null",TRUE,"1661","var.","tiliaceum","L.","Fryxell","North America","08/07/1965","E side of US 1, N side of Taylor Creek bridge, N edge of Fort Pierce. T34S, R40E, Sec. 33.","Mar 2002","null","Flower","Immature Fruit","null","null","null","Flowers pure yellow with dark maroon throat, aging to salmon tinged; many-trunked, shrubby tree, 5 m tall, spreading from cultivation.","null","null","null","null",FALSE,"null","-81.9667","W","27.8333","N","https://cdn.plantatlas.org/img/specimens/USF/67825.jpg"
"564",248430,"null","HR0561","C. vanHoek","G. Parsons","USA","Hillsborough Co.","Cleomaceae","Tarenaya","null","null",55764,"null","null","null",TRUE,"1601","null","houtteana","Schltdl.","Soares Neto & Roalson","North America","05/02/2008","Model Dairy Mitigation Project area.  T27S, R21E, Sec. 18.","Apr 2026","Along outer edges of a naturally occuring hardwood swamp, in ca. 15 in. of water.","Fertile","null","null","null","null","Native to South America and escaped from cultivation.","null","null","null","null",FALSE,"Hillsborough River State Park","-82.35","W","27.9167","N","https://cdn.plantatlas.org/img/specimens/USF/248430.jpg"
"565",137214,"null","6184","R. P. Wunderlin","A. Arcuri, B. Hansen","USA","Lee Co.","Bignoniaceae","Tecoma","null","null",131582,"null","null","null",TRUE,"1437","null","stans","L.","Juss. ex Kunth","North America","10/28/1978","J.N. ""Ding"" Darling National Wildlife Refuge; 0.6 mi. W of Tarpon Bay Road on Sanibel-Captiva Road.","null","Abandoned homesite.","null","null","null","null","null","Persistent from cultivation.","null","null","null","null",FALSE,"Sanibel Island","-82.189261","W","26.522023","N","https://cdn.plantatlas.org/img/specimens/USF/137214.jpg"
"570",241612,"null","s.n.","R. Schuh","R. Roberts","USA","Martin Co.","Combretaceae","Terminalia","null","null",129937,"null","null","null",TRUE,"1305","null","muelleri","Benth.","null","North America","09/18/2005","Nelson Interpretive site, Jonathon Dickinson State Park.","null","null","null","null","null","null","null","Persistent from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/241612.JPG"
"572",221652,"null","455","C. E. Nauman","","USA","Broward Co.","Thelypteridaceae","Thelypteris","null","null",100488,"null","null","null",TRUE,"3379","null","kunthii","Desv.","C. V. Morton","North America","10/24/1978","1031 NE 23rd Place.","null","null","Fertile","null","null","null","null","Cultivated.","null","null","null","null",FALSE,"Pompano Beach","-80.1167","W","26.2333","N","https://cdn.plantatlas.org/img/specimens/USF/221652.jpg"
"573",81373,"null","1536","H. E. Box","null","Antigua & Barbuda","St. John Par.","Malvaceae","Theobroma","null","null",143187,"null","null","null",TRUE,"null","null","cacao","L.","null","West Indies","09/17/1938","Body Ponds.","null","In the second-growth mesophytic woodlands of SW volcanic district.","null","null","null","null","null","A number of old Cacao trees, survivors of a cultivation now abandoned; the local negroes use a very coarse and crude form of chocolate made from the pods.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/81373.jpg"
"574",9253,"null","6354","G. R. Cooley","","USA","Hernando Co.","Acanthaceae","Thunbergia","null","null",30704,"null","null","null",TRUE,"254","null","alata","Bojer ex Sims","null","North America","03/07/1959","null","null","null","Flower","null","null","null","null","An escape from cultivation. Corolla lobes strong orange-yellow. 7.5 YR 7/11, center moderate violet, deeper than 2.5P 3/8 Munsell Hue.","null","null","null","null",FALSE,"Chinsegut Hill","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/9253.jpg"
"576",9948,"null","s.n.","J. D. Ray, Jr.","","USA","Hernando Co.","Acanthaceae","Thunbergia","null","null",132403,"null","null","null",TRUE,"183","null","grandiflora","Roxb.","null","North America","10/12/1959","Chinsegut Hill; at entrance to Mansion.","null","null","Flower","Fruit","null","null","null","Rampant, high climbing liana; flowers with bright blue corollas creamy in throat; cultivar.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/9948.jpg"
"577",82495,"null","1121","W. H. A. Hekking","","Suriname","null","Acanthaceae","Thunbergia","null","null",50891,"null","null","null",TRUE,"183","null","grandiflora","Roxb.","null","South America","11/06/1961","SW part of the town.","1965","In Casuarina.","Flower","Fruit","null","null","null","Corolla tube inside white and yellow; limb bluish purple; style and filaments yellowish-whitish; anthers pale, brown-hairy; bracts light-green. Climbing; cultivated or naturalized.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/82495.jpg"
"587",64206,"null","[none given]","J. A. Lassiter","R. Lassiter","USA","Martin Co.","Orchidaceae","Tolumnia","null","null",6830,"null","null","null",TRUE,"573","null","bahamensis","Nash ex Britton & Millsp.","Braem","North America","05/24/1964","Contact USF Herbarium if additional information is required","1999","Pinus clausa - Ceratiola association.","Bud","Flower","null","null","null","Cultivated by the Lassiters from a collection; donated May 1965 by the collectors; pressed 14 May.","null","null","null","null",TRUE,"Hobe Sound","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/64206.jpg"
"590",21408,"null","s.n.","C. A. Weatherby","","USA","Windham Co.","Commelinaceae","Tradescantia","null","null",218714,"null","null","null",TRUE,"null","null","ohiensis x virginiana","null","null","North America","06/19/1908","Woodstock.","null","Roadside.","Flower","Bud","null","null","null","Aan escape from cultivation.","null","null","null","null",FALSE,"null","-71.973963","W","41.948431","N","https://cdn.plantatlas.org/img/specimens/USF/21408.jpg"
"593",244127,"null","32","D. Jollimore","","USA","Hillsborough Co.","Iridaceae","Trimezia","null","null",117394,"null","null","null",TRUE,"4111","null","steyermarkii","R. C. Foster","null","North America","03/01/2007","9316B Eastfield Road, near fence line.","17-May-2018","null","Fertile","null","null","null","null","Persistent from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/244127.jpg"
"595",63947,"null","28365","O. K. Lakela","J. Popenoe","USA","Miami-Dade Co.","Convolvulaceae","Turbina","null","null",60452,"null","null","null",TRUE,"null","null","corymbosa","L.","Raf.","North America","03/01/1965","Fairchild Tropical Garden, Coconut Grove.","14 Jan 1971","null","Fruit","null","null","null","null","Frequent copious growth with vines; escaped from cultivation.","null","null","null","null",FALSE,"null","-81.8333","W","26.3833","N","https://cdn.plantatlas.org/img/specimens/USF/63947.jpg"
"598",191660,"null","11320","B. F. Hansen","R. P. Wunderlin & K. Kuhlman","USA","Palm Beach Co.","null","unknown","null","null",135464,"null","null","null",TRUE,"null","null","sp.","null","null","North America","09/25/1986","S side of Lake Okeechobee levee just aross the canal from pumping station, at Lake Harbor. T43S, R35E, Sec. 36.","null","Wooded area.","null","null","null","null","null","Medium tree persistent from cultivation.","null","null","null","null",FALSE,"null","-80.829783","W","27.243935","N","https://cdn.plantatlas.org/img/specimens/USF/191660.jpg"
"599",243574,"null","1375","S. B. Davis","null","USA","Alachua Co.","Poaceae","Urochloa","null","null",237528,"null","null","null",TRUE,"4412","null","humidicola","Rendle","Morrone & Zuloaga","North America","07/29/2006","Behind the botany greenhouses at the SE corner of the intersection of Museum Rd. and Center Drive, University of Florida, Gainesville.","null","Open sunny area next to a chain link fence. ","null","null","null","null","null","Erect plants with lower stems reclining and rooting at the nodes; culm leaves 'U' shaped in cross section with narrow white margins; may be persisting from cultivation.","null","null","null","null",FALSE,"null","-82.325","W","29.65139","N","https://cdn.plantatlas.org/img/specimens/USF/243574.jpg"
"601",63633,"null","s.n.","R. E. Abrams","","USA","Charlotte Co.","Fabaceae","Vachellia","null","null",128278,"null","null","null",TRUE,"1591","null","cornigera","L.","Seigler & Ebinger","North America","01/13/1965","Yard of Russell E. Abrams, 419 San Marie Drive, Punta Gorda.","Aug 2013","null","null","null","null","null","null","Flowers creamy yellow; inflorescence dense, thimble-shaped, ca. 3 cm long; cultivated tree.","null","null","null","null",FALSE,"null","-81.7333","W","30.05","N","https://cdn.plantatlas.org/img/specimens/USF/63633.jpg"
"602",130675,"null","s.n.","R. Lassiter","","USA","null","Orchidaceae","Vanilla","null","null",6864,"null","null","null",TRUE,"2385","null","dilloniana","Correll","null","North America","07/07/1977","Contact USF Herbarium if additional information is required","1977","null","Flower","null","null","null","null","Cultivated in Rita Lassiter's greenhouse, Hillsborough County; collected by John Beckner in 1953.","null","null","null","null",TRUE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/130675.jpg"
"606",117879,"null","1492","G. N. Avery","null","USA","Miami-Dade Co.","Fabaceae","Vigna","null","null",5161,"null","null","null",TRUE,"431","null","hosei","Craib","Backer","North America","03/31/1974","Subtropical Horticulture Research Station. PI 65308, M 1535.","1974","null","Flower","null","null","null","null","Plants prostrate, growing over mulch; flowers yellow. No fruit seen. No longer cultivated; naturalized in several parts of this station.","null","null","null","null",FALSE,"Miami","-80.193659","W","25.774266","N","https://cdn.plantatlas.org/img/specimens/USF/117879.jpg"
"607",241446,"null","29851","S. R. Hill","","USA","Champaign Co.","Fabaceae","Vigna","null","null",128290,"null","null","null",TRUE,"54","null","unguiculata","L.","Walp.","North America","10/20/1997","E. Albert garden plots, Dodd's Park, E side Parkland College; W side Mattis Avenue at S side of water company.","Oct 1997","null","Fruit","Flower","null","null","null","Flowers pinkish; old cultivar of black-eyed pea; petioles winged; herbaceous vine 2-2.5 m long.","null","null","null","null",FALSE,"null","-89.75","W","40.45","N","https://cdn.plantatlas.org/img/specimens/USF/241446.jpg"
"608",204450,"null","20201","S. R. Hill","","USA","Oconee Co.","Violaceae","Viola","null","null",129549,"null","null","null",TRUE,"1960","null","tricolor","L.","null","North America","02/19/1989","Law office of Robert Whitney, SC 28, Bountyland (N of Seneca).","Sep 1989","null","null","null","null","null","null","Upper petals dark purple, lower yellow with dark purple lines; persistent after cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/204450.JPG"
"609",196569,"null","16769","S. R. Hill","","USA","Allegany Co.","Caprifoliaceae","Weigela","null","null",132539,"null","null","null",TRUE,"null","null","floribunda","Siebold & Zucc.","K. Koch","North America","05/26/1986","Rocky Gap Road, just N of Hancock Road.","null","Old pasture.","Flower","null","null","null","null","Flowers pink; shrub 7 ft. tall; persistent from cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/196569.JPG"
"611",43292,"null","4460","E. M. Browne","E.T. Browne Jr.","USA","Fayette Co.","Asparagaceae","Yucca","null","null",220535,"null","null","null",TRUE,"null","null","flaccida","Haw.","null","North America","07/06/1961","Laxington; across Southern Railway tracks from passenger station ca. S Broadway.","Feb 1976","Vacant tract of land.","Fertile","null","null","null","null","Persisting and spreading after cultivation.","null","null","null","null",FALSE,"null","null","null","null","null","https://cdn.plantatlas.org/img/specimens/USF/43292.jpg"
"613",251714,"null","HR0440","C. vanHoek","","USA","Hillsborough Co.","Zamiaceae","Zamia","null","null",40534,"null","null","null",TRUE,"2105","null","integrifolia","L. f.","null","North America","03/22/2006","Site of previous entrance building, now the Fort Foster museum.  T27S, R21E, Sec. 8, SE¼.","23-Dec-2016","Mesic flatwoods.","Fertile","null","null","null","null","Escaped from cultivation.","null","null","null","null",FALSE,"Hillsborough River State Park","-82.35","W","27.9167","N","https://cdn.plantatlas.org/img/specimens/USF/251714.jpg"
